_id,wallet_id,pool,aggregated_lp_score,reason
6874b81ea794db5e6c4c2d92,0x0041ff590cca6e1077075678c24bad5b5fb95452,0,255.0,Top depositor but low score
6874b81fa794db5e6c4c2db0,0x000a460f9e5fc39b30976cbf3484d4826941f558,0,116.45,Top depositor but low score
6874b82ba794db5e6c4c300a,0x01bc8aad10693187a706b0f6aa222b7ebf54d0f0,0,263.0,Top depositor but low score
6874b832a794db5e6c4c3126,0x02e2b15e8292be234b6f1e29f250f31a0dbf5aab,0,198.9,Top depositor but low score
6874b832a794db5e6c4c3129,0x0238ed3f93a0da76d539de284e735a63d1ed5ada,0,281.35,Top depositor but low score
6874b82aa794db5e6c4c2f70,0x01a62cecd7ea77763ba1a99b6483ddcd653ed99a,0,189.78,Top depositor but low score
6874b82aa794db5e6c4c2f75,0x0156ff30a13abbe641cb17f33967eb67feafeb4e,0,212.5,Top depositor but low score
6874b82ca794db5e6c4c303b,0x013aa82fef32468f9de641121454dfb7d72168d5,0,262.0,Top depositor but low score
6874b835a794db5e6c4c3204,0x0231c2286df7f0fd6468e8741e8047bf68db43ee,0,244.12,Top depositor but low score
6874b834a794db5e6c4c31c7,0x0279431a5e11d234dcf1d4493494db9f06ea42cd,0,215.0,Top depositor but low score
6874b83ba794db5e6c4c32b8,0x03f2311d29e671b40e69504b56f77881385ef219,0,202.0,Top depositor but low score
6874b833a794db5e6c4c314a,0x02c4bc6b7dda908bf89bda10cf8dbb8649823284,0,224.4,Top depositor but low score
6874b846a794db5e6c4c34dd,0x043f8524f87efb25990b65ff4918f9128acf742e,0,200.0,Top depositor but low score
6874b846a794db5e6c4c34c0,0x04ddf96a61c4c44731f04df4e963f61cfe3c9c6d,0,292.0,Top depositor but low score
6874b844a794db5e6c4c342b,0x0437d012f61cda07db042bf0342569c4afcee103,0,289.0,Top depositor but low score
6874b846a794db5e6c4c34e0,0x04a5f9a2149e039034aadf9f0003936078f6be85,0,289.0,Top depositor but low score
6874b845a794db5e6c4c345f,0x0451dc7b247bbfb528b3f9881512ced65b47fac1,0,235.2,Top depositor but low score
6874b84ea794db5e6c4c35e1,0x056590f16d5b314a132bbcfb1283fec5d5c6e670,0,224.4,Top depositor but low score
6874b847a794db5e6c4c3534,0x050584a95d708b297ed277c75ca3d651873c6eaf,0,212.5,Top depositor but low score
6874b847a794db5e6c4c351b,0x044f0fb992da85df6c991048e34511c225c75224,0,279.65,Top depositor but low score
6874b850a794db5e6c4c36a9,0x05cd9660d3ff4d4de8ddfb139819595795a5e01f,0,226.38,Top depositor but low score
6874b859a794db5e6c4c382a,0x0679f91e7829efd6954d4ea48448240c61202e75,0,225.25,Top depositor but low score
6874b859a794db5e6c4c382e,0x06b8635cbfe2accfe9c7af716168c200c78f568e,0,195.08,Top depositor but low score
6874b858a794db5e6c4c37da,0x06b99263d4ed7066aeb41fc592476306bf453d45,0,209.1,Top depositor but low score
6874b857a794db5e6c4c377e,0x06994053761de28b47334bba81a05a539a86e997,0,277.1,Top depositor but low score
6874b85da794db5e6c4c3872,0x07c3aa37347c8102a24e5bfb261cf420aa4512fe,0,249.05,Top depositor but low score
6874b860a794db5e6c4c394b,0x0722b208e89b5872ef5d5f43f87633fc4ff462e9,0,258.4,Top depositor but low score
6874b85fa794db5e6c4c38d7,0x07f8ac502ec8534cc3efc9749bb74454285e2251,0,292.4,Top depositor but low score
6874b862a794db5e6c4c39e8,0x08048f6d9db401d2716dcbb1979513231e5e3c81,0,242.45,Top depositor but low score
6874b862a794db5e6c4c39e2,0x0801be00fef56147ab7e719af9fcf39d39609148,0,267.84,Top depositor but low score
6874b861a794db5e6c4c3986,0x07984622f876f03a998e148ee576a00ae5e269bb,0,211.65,Top depositor but low score
6874b865a794db5e6c4c39fe,0x08cc4a936a24a278097feb566fccf71ffe84a833,0,278.8,Top depositor but low score
6874b868a794db5e6c4c3a94,0x0908f380d2ad9a11d93931d7f8814aa329063789,0,292.0,Top depositor but low score
6874b866a794db5e6c4c3a3a,0x0857ffc2dc009787cd0c1ccdbab83f56b3b47c32,0,276.25,Top depositor but low score
6874b867a794db5e6c4c3a53,0x08e9e9424f7342618d5d66a64ad370b4bba1c25d,0,198.05,Top depositor but low score
6874b878a794db5e6c4c3d5e,0x0a9c593ed710c6a6928fd03e9620f1fe40bae40c,0,222.7,Top depositor but low score
