_id,wallet_id,lp_scores[0].retained_liquidity,lp_scores[1].retained_liquidity,lp_scores[2].retained_liquidity,lp_scores[3].retained_liquidity,lp_scores[4].retained_liquidity,lp_scores[5].retained_liquidity,lp_scores[6].retained_liquidity,lp_scores[7].retained_liquidity,lp_scores[8].retained_liquidity,lp_scores[9].retained_liquidity,lp_scores[10].retained_liquidity,lp_scores[11].retained_liquidity,lp_scores[12].retained_liquidity
6874b820a794db5e6c4c2dbf,0x0057d4a850e34bac84ed297f14ba146747b90272,-1.3894775022328076,,,,,,,,,,,,
6874b821a794db5e6c4c2dee,0x00d4c206ae699d5d2bf19a542a544276dc50889c,-61.54598851058408,20262.321680215347,,,,,,,,,,,
6874b822a794db5e6c4c2e23,0x0052830c57696794e3999ed44dd2bb20d286a19b,-3263.061206415296,,,,,,,,,,,,
6874b822a794db5e6c4c2e3f,0x007c70e81c0430f39c965a0819293e1745f1e443,-45.91874414004235,,,,,,,,,,,,
6874b828a794db5e6c4c2f25,0x013e9d280d9716e5ed41eb1641c92937ac36b4a5,-296.25173655459,,,,,,,,,,,,
6874b829a794db5e6c4c2f38,0x011c0b0dc1dc2125c2a310240ece961436112a63,-192.58870216090872,,,,,,,,,,,,
6874b81ea794db5e6c4c2d92,0x0041ff590cca6e1077075678c24bad5b5fb95452,-5925.758131440845,,,,,,,,,,,,
6874b821a794db5e6c4c2df7,0x002fe502a3c31fb20340829cee70d95f5f85a535,-51.26250291601536,-2098.792060051734,,,,,,,,,,,
6874b822a794db5e6c4c2e49,0x00e7737af473fb9d19892c5de81b2f2b0ba2789f,-291.37113106012066,,,,,,,,,,,,
6874b823a794db5e6c4c2e67,0x0079847320e894982cfd50b665c15b329cb33806,-3.6697959688757456,,,,,,,,,,,,
6874b824a794db5e6c4c2ee4,0x0076256425954d097a4003fa46d731f895cfa829,-2649.525651859977,-4874.013026555864,,,,,,,,,,,
6874b829a794db5e6c4c2f57,0x018f6202aa1d1a24d46e34350c2333d71ae1d488,-162.942249106845,,,,,,,,,,,,
6874b82aa794db5e6c4c2f6d,0x01261d70f00de0928f1893f285af239d69b4de14,-0.0106381750218247,-43.35101027553901,,,,,,,,,,,
6874b820a794db5e6c4c2de2,0x00d1f4255c1d33f36eca1f96fd092840bf93aefc,3197.838799102232,-99.51911651128336,,,,,,,,,,,
6874b823a794db5e6c4c2e69,0x0068046fda40164c42e2054bce8aec6b22bf87ba,-21.48471950978956,-33930.03203998765,,,,,,,,,,,
6874b823a794db5e6c4c2e74,0x00b62582ca285c4234a36218281eaf88eda9cfc5,-26.97972138428028,,,,,,,,,,,,
6874b823a794db5e6c4c2e7d,0x00db3dde31a50e61b0c56f09e7afbca18b729763,-10.253416598483112,,,,,,,,,,,,
6874b823a794db5e6c4c2e86,0x00e74df09273e860f7ee9930945aa84ab91b2e62,-31.34739503752735,17.78805730944032,,,,,,,,,,,
6874b824a794db5e6c4c2edb,0x00dcf487a809ec751d6271a42494ab11df236ec3,-39.55331285300599,-321.11266921779315,,,,,,,,,,,
6874b824a794db5e6c4c2ee8,0x00e0e1be571c62aa8449514575a3705689026ac1,-11.37768804570578,,,,,,,,,,,,
6874b827a794db5e6c4c2ef2,0x011131c3d5ef8308ec3eab15f7c1863c69f4a4c3,-17.52783281147328,,,,,,,,,,,,
6874b82aa794db5e6c4c2f68,0x01de494230b03989f9a2d8956fdfe5486d712ebf,-3.116186,,,,,,,,,,,,
6874b81fa794db5e6c4c2dad,0x00dde8eed75884f3793bf49b40df36488d5fef2f,-1.206987,,,,,,,,,,,,
6874b81fa794db5e6c4c2db0,0x000a460f9e5fc39b30976cbf3484d4826941f558,-2937.099318504741,,,,,,,,,,,,
6874b820a794db5e6c4c2dd6,0x0042bd1f992ccd8727fb3bdd6b04fd8eb783dbfa,-7058.514447555983,,,,,,,,,,,,
6874b823a794db5e6c4c2e95,0x00c6982f8563cbbaa35faf94465b131c75975cf4,-2.663719663125903,,,,,,,,,,,,
6874b827a794db5e6c4c2efb,0x0100a6e67f6abc0c452395eeca488c51b976b516,-2.122316,,,,,,,,,,,,
6874b828a794db5e6c4c2f2d,0x0152b9ec9b429836fe85089d60d5556f8d3f3299,-3.3889792083492694,,,,,,,,,,,,
6874b81ea794db5e6c4c2d7d,0x0013e99ddcfb678fcd383895ed50250eb85e5d22,-8855.045284624677,,,,,,,,,,,,
6874b821a794db5e6c4c2e0e,0x00baae879f7a4887f571cbb2012ad0ac1913ba93,-112.60376061017564,,,,,,,,,,,,
6874b822a794db5e6c4c2e5a,0x0078fea3bde1a03c2e3e07110729d2f65f39db62,-118.01569954950288,,,,,,,,,,,,
6874b823a794db5e6c4c2ea8,0x00e7235c51ae010e1b9b6d3b0e38873967054648,-180.0479838481533,,,,,,,,,,,,
6874b823a794db5e6c4c2ec4,0x00b0a6e06a98d3dc2cb4f957c1f415ffdccb770e,-8329.218161771721,,,,,,,,,,,,
6874b824a794db5e6c4c2ecd,0x00996f2819decca55031be2b2ec2a928d13d2515,-28.22325648431064,9.953804980457504,,,,,,,,,,,
6874b824a794db5e6c4c2ed2,0x002010e1aacc7fba0ef5c5114a89b0749e57ec90,-1.0811141151934862,-1765.8219133280218,,,,,,,,,,,
6874b829a794db5e6c4c2f36,0x00f5ddcb7996e0290f4e770f3642b07fcb642f96,-207.14966511105467,,,,,,,,,,,,
6874b829a794db5e6c4c2f4e,0x0158d6e7082a85eb01ba2b99da98d8b60f04dcfc,-1.7489071664340372,,,,,,,,,,,,
6874b82aa794db5e6c4c2f67,0x019ee51c92802065c935dcb8f793016ec31e1e55,-3.508533,,,,,,,,,,,,
6874b81fa794db5e6c4c2d9b,0x0075d702e1fcbce9b4ef38f82ffd87e3d7b05e52,-386.4128698106215,,,,,,,,,,,,
6874b820a794db5e6c4c2dd7,0x00833c9dff59cb2b242fbf47cdc327cc0a1be42d,-390.8438582081167,,,,,,,,,,,,
6874b822a794db5e6c4c2e1f,0x00634ae022c045cbecf82ff7f1152d2b13bc3c3b,-28.30294587865707,,,,,,,,,,,,
6874b822a794db5e6c4c2e57,0x0091f8352642bd54107740b47e0ef9f35a01b542,-153.98122996871518,,,,,,,,,,,,
6874b823a794db5e6c4c2ea1,0x00aa222d3192d2bcf7419196c45581517c51f4af,-18.92227104801654,,,,,,,,,,,,
6874b824a794db5e6c4c2ed9,0x00057df318f342fff187948b85661b0d93f8d45e,-95.71734537102438,,,,,,,,,,,,
6874b824a794db5e6c4c2ee9,0x00432d1ff71472449d7c763417f1ee22248815aa,-503.31987751071983,-10013.133272,,,,,,,,,,,
6874b820a794db5e6c4c2de3,0x0076fe33d135a1ab71845530cfe3898f9094e500,-474.9344953441183,,,,,,,,,,,,
6874b821a794db5e6c4c2e03,0x00e1f587b90eb6ca1ddf0baa59ec9ef47c96f34d,-79.56826834373402,,,,,,,,,,,,
6874b822a794db5e6c4c2e62,0x00dbcc59e6bb596cf2a1cff9326c5f80618875c3,-216.24933833122213,,,,,,,,,,,,
6874b823a794db5e6c4c2e6e,0x000e340b4640316d90d611cf0fb9eda6ba93c087,4015.198784291964,-54443.30472747581,,,,,,,,,,,
6874b823a794db5e6c4c2e72,0x008256329d7f1eaeead40d5705e6db236452f6fc,-67.46155094905417,,,,,,,,,,,,
6874b823a794db5e6c4c2e97,0x004fc16bdc6f73b1ae316e9cad5f3b20bce631fb,-223.30824251946973,,,,,,,,,,,,
6874b829a794db5e6c4c2f5b,0x0191363f12fcc73ac9cf6bab54572edd1dc713be,-22.45269265672277,,,,,,,,,,,,
6874b81ea794db5e6c4c2d91,0x00638a54cc0984f2f92ddc1634850993636bb292,-444.8357933188345,,,,,,,,,,,,
6874b81fa794db5e6c4c2da5,0x0026075dee1b174b6dfe5585558b885d33bf3d80,-166.0971006770178,,,,,,,,,,,,
6874b81fa794db5e6c4c2dae,0x001d9f0c3b75faf962b891b654ec9e57ab0702fe,-357.2514194803816,,,,,,,,,,,,
6874b820a794db5e6c4c2dc7,0x0083c63bcdc61e96e2f90cb3a14129b4b3379859,-153.3960812973246,,,,,,,,,,,,
6874b821a794db5e6c4c2deb,0x00677b7e83c68fef37e64dfc32d35194b53b0a9a,-21.88146620861695,,,,,,,,,,,,
6874b821a794db5e6c4c2e08,0x00f1060fe72b9b153233520b0c731c44967c8bf6,-82.94020702658874,,,,,,,,,,,,
6874b822a794db5e6c4c2e25,0x00d600db14e3a0468d68d8a13d8d307816ace347,-10832.8634074441,,,,,,,,,,,,
6874b822a794db5e6c4c2e32,0x005e876ea3e281372835e4097c830003cfb4c057,23.06840302854107,-60.93321501436367,,,,,,,,,,,
6874b824a794db5e6c4c2eee,0x009a97ba09273ae0e06597ec8298778a415fe182,-364.607353675422,,,,,,,,,,,,
6874b829a794db5e6c4c2f45,0x010c5d8cf8f1d6bd2c2306ea3210c469e67bbd52,-72.29719593819277,,,,,,,,,,,,
6874b829a794db5e6c4c2f4d,0x01327283e8903603e55b5e9c724f0f5604a3660b,-15589.495689623189,,,,,,,,,,,,
6874b829a794db5e6c4c2f5f,0x0101b58c3f766ff6f608278cc220fea4411a0101,-12.064168346645602,,,,,,,,,,,,
6874b81da794db5e6c4c2d7a,0x00dfb0d32722d7820df685e1b93f33774e83892e,-77.55083670075692,,,,,,,,,,,,
6874b81fa794db5e6c4c2daa,0x008a7af5d637fa9af2e515191b8f0f31fe8ec4c5,-0.0061765479767927,,,,,,,,,,,,
6874b820a794db5e6c4c2dbe,0x0074a88adb50e9a1134718137db0280511276b9c,-908.7542187507106,,,,,,,,,,,,
6874b821a794db5e6c4c2e0f,0x00eafe0de090f3bc023c1156f2bc42fb4550907b,-0.208210128673727,,,,,,,,,,,,
6874b822a794db5e6c4c2e1c,0x00e47e21e505815ba7f4bd3dbae6607ebe879b4e,-619.0810757985137,,,,,,,,,,,,
6874b822a794db5e6c4c2e2b,0x00b647981438589604651c7974fe46564baa77fd,-108.12894111536298,,,,,,,,,,,,
6874b823a794db5e6c4c2e78,0x00edcb1e21e3ccbf1bda0f924f1a19a475da257a,-897.1748178450616,,,,,,,,,,,,
