_id,wallet_id,aggregated_lp_score,lp_scores[0].total_deposit_all_time,lp_scores[0].retained_liquidity,lp_scores[0].avg_holding_days,reason
6874b8e6a794db5e6c4c515d,0x17cce5c9194883513abbbfd454237595fe0f8122,341.7,0.0,0.0,0.0,High score per deposit
6874b8e6a794db5e6c4c5173,0x18058b7d9649cb7d7efbebbb7409bd30e38ae660,260.27,0.0,0.0,0.0,High score per deposit
6874b8f5a794db5e6c4c53ce,0x196b124408223df9f174aae81f75f24337ca6850,307.05,0.0,0.0,0.0,High score per deposit
6874b8fda794db5e6c4c552b,0x1a97a6344fa5800988c47ccc41277d7fa12d9b0a,262.61,0.0,0.0,0.0,High score per deposit
6874b906a794db5e6c4c56f4,0x1baaf1cfdd36ea06b5054fe012b7105332dd6ec0,406.07,0.0,0.0,0.0,High score per deposit
6874b935a794db5e6c4c5d69,0x1fc550e98ad3021e32c47a84019f77a0792c60b7,300.0,0.0,0.0,0.0,High score per deposit
6874b92ea794db5e6c4c5c76,0x1ef994c6b9a20b391dd4f18c2115f7ebcf13945c,292.43,0.0,0.0,0.0,High score per deposit
6874b937a794db5e6c4c5dfc,0x1fff97e92132e24b5a94b34c14dc99a759bdc0cd,305.91,0.0,0.0,0.0,High score per deposit
6874b937a794db5e6c4c5e00,0x204fa97d11c2e0e8d5a89348d10c002b315ccb6f,511.0,0.0,0.0,0.0,High score per deposit
6874b93fa794db5e6c4c5f86,0x21974c4933151b763eda3749e0a5e0ec4f8c9524,268.34,0.0,0.0,0.0,High score per deposit
6874b94fa794db5e6c4c6205,0x238a646f50b34ed13f68d672410d4d101ccdfb47,306.3,0.0,0.0,0.0,High score per deposit
6874b958a794db5e6c4c63f3,0x23ed9a21355daf2e756ff16bf3c4ccf10b741b2b,286.51,0.0,0.0,0.0,High score per deposit
6874b95aa794db5e6c4c6461,0x23e846791e1a3022bfeb4ccc0ae004006ddcfb4f,268.6,0.0,0.0,0.0,High score per deposit
6874b961a794db5e6c4c6581,0x251c92e0435468a661c3fc2317a336b9ac6798b9,317.6,0.0,0.0,0.0,High score per deposit
6874b962a794db5e6c4c65db,0x258626ef148ed92d24d229f39af947c04cc5fa27,297.78,0.0,0.0,0.0,High score per deposit
6874b968a794db5e6c4c664d,0x2630ef27a493e10e398b05fe496d2d68532f0230,319.11,0.0,0.0,0.0,High score per deposit
6874b96aa794db5e6c4c66ed,0x268de1a58e1e6058e9ddd3030334eff80554513f,314.64,0.0,0.0,0.0,High score per deposit
6874b96ca794db5e6c4c6781,0x26086bb87b9bb3adad3649a2b2275bf23aa67db8,417.74,0.0,0.0,0.0,High score per deposit
6874b96aa794db5e6c4c66b0,0x25e4cd86b399cd498a386143c5ce35270bd8fb70,322.0,0.0,0.0,0.0,High score per deposit
6874b96ba794db5e6c4c66ef,0x25c9a361def0581f38d8591ae2ada0374b9781aa,459.92,0.0,0.0,0.0,High score per deposit
6874b96aa794db5e6c4c66ec,0x269d444f15d1d21aec16972585824fa0306c51f9,268.62,0.0,0.0,0.0,High score per deposit
6874b987a794db5e6c4c6c26,0x2978231d983d32c5ea3e97021e6a7d636ef42bef,425.96,0.0,0.0,0.0,High score per deposit
6874b998a794db5e6c4c6f47,0x2b33ac37759f6d4b9a118fa0c309e3ac616c86e4,354.2,0.0,0.0,0.0,High score per deposit
6874b998a794db5e6c4c6f3f,0x2ae832faa60e86444b81a592797ed1acdede9437,404.0,0.0,0.0,0.0,High score per deposit
6874b9a0a794db5e6c4c7047,0x2c6680de830372d8b9fb921c637b2e14602b01f0,341.77,0.0,0.0,0.0,High score per deposit
6874b99ea794db5e6c4c6faf,0x2c21aa13bf96b806df0c86f27cbc6279fa27345b,763.0,0.0,0.0,0.0,High score per deposit
6874b9a0a794db5e6c4c7057,0x2c3a514ef96eb7e5df8e44dfaad238db47b1d1a9,317.05,0.0,0.0,0.0,High score per deposit
6874b998a794db5e6c4c6f2b,0x2ae4ae376e1485c55e42782226cc2d607c31e588,583.05,0.0,0.0,0.0,High score per deposit
6874b997a794db5e6c4c6f12,0x2b879b7e585771a9a43797914334150f938d4896,461.87,0.0,0.0,0.0,High score per deposit
6874b9a2a794db5e6c4c70f0,0x2cad75e380ddb12329231df6793a0343917be8b3,283.05,0.0,0.0,0.0,High score per deposit
6874b9a0a794db5e6c4c709e,0x2c941171bd2a7aeda7c2767c438dff36eaafdafc,352.22,0.0,0.0,0.0,High score per deposit
6874b9bba794db5e6c4c74b1,0x2fad9207ce9684c43da1dedceb4b6d14086a1d73,265.2,0.0,0.0,0.0,High score per deposit
6874b9c3a794db5e6c4c7640,0x30b0eae5e9df8a1c95dfdb7af86aa4e7f3b51f13,319.3,0.0,0.0,0.0,High score per deposit
6874b9cea794db5e6c4c7895,0x32244799f46dad2de11781e9a18759d4a67fd6f4,578.45,0.0,0.0,0.0,High score per deposit
6874b9d6a794db5e6c4c79ee,0x329f5e0862bf28503eb6b479fefbb30047f74f30,271.61,0.0,0.0,0.0,High score per deposit
6874b9d6a794db5e6c4c79c6,0x332d9ccf44dc2494d37524291606385e3e2c073a,262.38,0.0,0.0,0.0,High score per deposit
6874b9e1a794db5e6c4c7b98,0x33cba6a48ab5a1e3fd54390a62250d71e21080e0,489.6,0.0,0.0,0.0,High score per deposit
6874b9e1a794db5e6c4c7b9c,0x33cabd8e2eda5d4fa7e537f641d40b068c999999,369.51,0.0,0.0,0.0,High score per deposit
6874b9e1a794db5e6c4c7bb8,0x33eaee4b46b0c48851f7af4ae95adce6fa5afd77,308.67,0.0,0.0,0.0,High score per deposit
6874b9e1a794db5e6c4c7bbf,0x33bd7c11c13ef8b32c41f783f90676257590e170,260.53,0.0,0.0,0.0,High score per deposit
6874b9e1a794db5e6c4c7b92,0x343f8c4c5fe7e7e385936bb6a1ea40e021833f50,301.25,0.0,0.0,0.0,High score per deposit
6874b9e9a794db5e6c4c7ccc,0x34b1fbe4162684f5ed2b2ed7b3bfdfa00cee9bc2,472.0,0.0,0.0,0.0,High score per deposit
6874b9e7a794db5e6c4c7c54,0x3455e0b771b228bd1199ba39fdb5653997e0139a,269.2,0.0,0.0,0.0,High score per deposit
6874b9eaa794db5e6c4c7d79,0x34ab79e242fc140f57ecf7a6282e05b227dcef9a,420.86,0.0,0.0,0.0,High score per deposit
6874b9f3a794db5e6c4c7f04,0x35e085f841980a337e363b657b213b46dd89418f,282.7,0.0,0.0,0.0,High score per deposit
